number,name,email,password
2022010001,student2022010001,2022010001@stu.com,2022010001
2022010002,student2022010002,2022010002@stu.com,2022010002
2022010003,student2022010003,2022010003@stu.com,2022010003
2022010004,student2022010004,2022010004@stu.com,2022010004
2022010005,student2022010005,2022010005@stu.com,2022010005
2022010006,student2022010006,2022010006@stu.com,2022010006
2022010007,student2022010007,2022010007@stu.com,2022010007
2022010008,student2022010008,2022010008@stu.com,2022010008
2022010009,student2022010009,2022010009@stu.com,2022010009
2022010010,student2022010010,2022010010@stu.com,2022010010
2022010011,student2022010011,2022010011@stu.com,2022010011
2022010012,student2022010012,2022010012@stu.com,2022010012
2022010013,student2022010013,2022010013@stu.com,2022010013
2022010014,student2022010014,2022010014@stu.com,2022010014
2022010015,student2022010015,2022010015@stu.com,2022010015
2022010016,student2022010016,2022010016@stu.com,2022010016
2022010017,student2022010017,2022010017@stu.com,2022010017
2022010018,student2022010018,2022010018@stu.com,2022010018
2022010019,student2022010019,2022010019@stu.com,2022010019
2022010020,student2022010020,2022010020@stu.com,2022010020
2022010021,student2022010021,2022010021@stu.com,2022010021
2022010022,student2022010022,2022010022@stu.com,2022010022
2022010023,student2022010023,2022010023@stu.com,2022010023
2022010024,student2022010024,2022010024@stu.com,2022010024
2022010025,student2022010025,2022010025@stu.com,2022010025
2022010026,student2022010026,2022010026@stu.com,2022010026
2022010027,student2022010027,2022010027@stu.com,2022010027
2022010028,student2022010028,2022010028@stu.com,2022010028
2022010029,student2022010029,2022010029@stu.com,2022010029
2022010030,student2022010030,2022010030@stu.com,2022010030
2022010031,student2022010031,2022010031@stu.com,2022010031
2022010032,student2022010032,2022010032@stu.com,2022010032
2022010033,student2022010033,2022010033@stu.com,2022010033
2022010034,student2022010034,2022010034@stu.com,2022010034
2022010035,student2022010035,2022010035@stu.com,2022010035
2022010036,student2022010036,2022010036@stu.com,2022010036
2022010037,student2022010037,2022010037@stu.com,2022010037
2022010038,student2022010038,2022010038@stu.com,2022010038
2022010039,student2022010039,2022010039@stu.com,2022010039
2022010040,student2022010040,2022010040@stu.com,2022010040
2022010041,student2022010041,2022010041@stu.com,2022010041
2022010042,student2022010042,2022010042@stu.com,2022010042
2022010043,student2022010043,2022010043@stu.com,2022010043
2022010044,student2022010044,2022010044@stu.com,2022010044
